Worker_ID	Gender	Education	Lang	Age	variable	value	polarity	complexity	item1	item2	list	item
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2EI0	Male	High School Graduate	English	42	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A3DHA	Male	High School Graduate	English	23	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A1XKL	Male	Some college, no degree	English	31	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2C73	Male	High School Graduate	english	28	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
AHYTT	Female	Bachelors degree	english	37	Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A53WV	Male	Some High School	english	26	Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A27VF	Female	High School Graduate	English	48	Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A1PMJ	Male	Bachelors degree	english	28	Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
AV5FC	Male	Some college, no degree	English	45	Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2WHC	Female	Bachelors degree	English	53	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2ZDX	Male	Bachelors degree	English	30	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A3MFK	Male	Bachelors degree	English	36	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A3QSJ	Female	Some college, no degree	English	37	Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2YGO	Male	Some college, no degree	english	38	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A25FH	Female	Associates degree	english	53	Neg_Morph_Accurate_Inaccurate	1	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A32LH	Female	Graduate degree (Masters, Doctorate, etc.)	English	30	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A190P	Female	Some college, no degree	English	28	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A1GF9	Female	Bachelors degree	english	26	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A3OZ8	Male	Some college, no degree	English	54	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A1OIH	Male	Bachelors degree	English	27	Neg_Morph_Accurate_Inaccurate	4	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A3ARC	Male	Bachelors degree	E	40	Neg_Morph_Accurate_Inaccurate	NA	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
AWVL6	Female	Bachelors degree	English	29	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2O7L	Male	High School Graduate	English	49	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2BZY	Male	High School Graduate	English	31	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A30UE	Female	Associates degree	english	31	Neg_Morph_Accurate_Inaccurate	5	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2Q4Z	Male	Bachelors degree	English	35	Neg_Morph_Accurate_Inaccurate	7	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A2915	Male	Bachelors degree	American	28	Neg_Morph_Accurate_Inaccurate	6	Neg	Morph	Accurate	Inaccurate	a	Accurate_Inaccurate
A38RH	Female	Graduate degree (Masters, Doctorate, etc.)	english	30	Neg_Morph_Certain_Uncertain	7	Neg	Morph	Certain	Uncertain	a	Certain_Uncertain
