marker	value	polarity 	item1	item2	item	complexity	Worker_ID	variable
	7.0	Pos	certain	uncertain	Certain_Uncertain	Morph	73	Pos_Morph_Certain_Uncertain
	7.0	Pos	lucky	unlucky	Lucky_Unlucky	Morph	73	Pos_Morph_Lucky_Unlucky
	7.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	73	Neg_Morph_Accurate_Inaccurate
	7.0	Neg	unhappy	happy	Happy_Unhappy	Morph	73	Neg_Morph_Happy_Unhappy
	4.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	73	Neg_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	73	Neg_Morph_Fair_Unfair
	7.0	Pos	polite	impolite	Polite_Impolite	Morph	73	Pos_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	73	Pos_Morph_Possible_Impossible
off	4.0	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	73	Neg_Morph_Satisfactory_Unsatisfactory
	7.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	73	Neg_Morph_Friendly_Unfriendly
	7.0	Pos	useful	useless	Useful_Useless	Morph	73	Pos_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	73	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	73	Pos_Nonmorph_Strong_Weak
	7.0	Neg	mean	kind	Kind_Mean	Nonmorph	73	Neg_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	73	Neg_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	73	Neg_Nonmorph_Happy_Sad
	7.0	Pos	long	short	Long_Short	Nonmorph	73	Pos_Nonmorph_Long_Short
	7.0	Pos	polite	rude	Polite_Rude	Nonmorph	73	Pos_Nonmorph_Polite_Rude
	7.0	Pos	rich	poor	Rich_Poor	Nonmorph	73	Pos_Nonmorph_Rich_Poor
	7.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	73	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	73	Neg_interestingboring
	1.0	Neg	bad	good	Good&Bad	testrating	73	Neg_badgood
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	73	Pos_impolitepolite
	7.0	Neg	fair	unfair	Fair&Unfair	testrating	73	Neg_fairunfair
	1.0	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	73	Pos_friendlyunfriendly
	1.0	Neg	tall	short	Tall&Short	testrating	73	Neg_tallshort
	4.0	Pos	average	average	Average	testaverage	73	Average_testaverage 
	4.0	Neg	ok	ok	Ok	testaverage	73	Ok_testaverage 
	4.0	Pos	alright	alright	Alright	testaverage	73	Alright_testaverage 
	4.0	Neg	ok	ok	OkOk	testaverage	73	OkOk_testaverage 
	7.0	Pos	certain	uncertain	Certain_Uncertain	Morph	74	Pos_Morph_Certain_Uncertain
	7.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	74	Neg_Morph_Lucky_Unlucky
	6.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	74	Neg_Morph_Accurate_Inaccurate
	6.0	Pos	happy	unhappy	Happy_Unhappy	Morph	74	Pos_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	74	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	74	Neg_Morph_Fair_Unfair
	4.0	Neg	impolite	polite	Polite_Impolite	Morph	74	Neg_Morph_Polite_Impolite
	7.0	Neg	impossible	possible	Possible_Impossible	Morph	74	Neg_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	74	Pos_Morph_Satisfactory_Unsatisfactory
	4.0	Neg	unfriendly	friendly	Friendly_Unfriendly	Morph	74	Neg_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	74	Neg_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	74	Pos_Nonmorph_Good_Bad
	7.0	Pos	strong	weak	Strong_Weak	Nonmorph	74	Pos_Nonmorph_Strong_Weak
	7.0	Pos	kind	mean	Kind_Mean	Nonmorph	74	Pos_Nonmorph_Kind_Mean
	7.0	Neg	short	tall	Tall_Short	Nonmorph	74	Neg_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	74	Neg_Nonmorph_Happy_Sad
