marker	value	polarity	item1	item2	item	complexity	Worker_ID	variable
	7.0	Pos	certain	uncertain	Certain_Uncertain	Morph	0	Pos_Morph_Certain_Uncertain
	7.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	0	Neg_Morph_Lucky_Unlucky
	7.0	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	0	Neg_Morph_Accurate_Inaccurate
	7.0	Pos	happy	unhappy	Happy_Unhappy	Morph	0	Pos_Morph_Happy_Unhappy
	7.0	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	0	Pos_Morph_Interesting_Uninteresting
	7.0	Neg	unfair	fair	Fair_Unfair	Morph	0	Neg_Morph_Fair_Unfair
	7.0	Neg	impolite	polite	Polite_Impolite	Morph	0	Neg_Morph_Polite_Impolite
	7.0	Pos	possible	impossible	Possible_Impossible	Morph	0	Pos_Morph_Possible_Impossible
	7.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	0	Pos_Morph_Satisfactory_Unsatisfactory
	7.0	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	0	Pos_Morph_Friendly_Unfriendly
	7.0	Neg	useless	useful	Useful_Useless	Morph	0	Neg_Morph_Useful_Useless
	7.0	Pos	good	bad	Good_Bad	Nonmorph	0	Pos_Nonmorph_Good_Bad
	7.0	Neg	weak	strong	Strong_Weak	Nonmorph	0	Neg_Nonmorph_Strong_Weak
	7.0	Pos	kind	mean	Kind_Mean	Nonmorph	0	Pos_Nonmorph_Kind_Mean
	7.0	Pos	tall	short	Tall_Short	Nonmorph	0	Pos_Nonmorph_Tall_Short
	7.0	Neg	sad	happy	Happy_Sad	Nonmorph	0	Neg_Nonmorph_Happy_Sad
	7.0	Neg	short	long	Long_Short	Nonmorph	0	Neg_Nonmorph_Long_Short
	7.0	Neg	rude	polite	Polite_Rude	Nonmorph	0	Neg_Nonmorph_Polite_Rude
	7.0	Neg	poor	rich	Rich_Poor	Nonmorph	0	Neg_Nonmorph_Rich_Poor
	7.0	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	0	Neg_Nonmorph_Satisfactory_Frustrating
	3.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	0	Neg_interestingboring
	1.0	Pos	good	bad	Good&Bad	testrating	0	Pos_goodbad
	1.0	Neg	polite	impolite	Polite&Impolite	testrating	0	Neg_politeimpolite
	1.0	Pos	unfair	fair	Fair&Unfair	testrating	0	Pos_unfairfair
	1.0	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	0	Neg_unfriendlyfriendly
	1.0	Pos	short	tall	Tall&Short	testrating	0	Pos_shorttall
	4.0	Neg	average	average	Average	testaverage	0	Average_testaverage
	4.0	Pos	ok	ok	Ok	testaverage	0	Ok_testaverage
	4.0	Pos	alright	alright	Alright	testaverage	0	Alright_testaverage
	4.0	Pos	ok	ok	OkOk	testaverage	0	OkOk_testaverage
vague	6.5	Pos	certain	uncertain	Certain_Uncertain	Morph	1	Pos_Morph_Certain_Uncertain
vague	5.5	Pos	lucky	unlucky	Lucky_Unlucky	Morph	1	Pos_Morph_Lucky_Unlucky
vague	5.5	Neg	inaccurate	accurate	Accurate_Inaccurate	Morph	1	Neg_Morph_Accurate_Inaccurate
vague	6.5	Pos	happy	unhappy	Happy_Unhappy	Morph	1	Pos_Morph_Happy_Unhappy
vague	6.5	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	1	Pos_Morph_Interesting_Uninteresting
off	5.5	Neg	unfair	fair	Fair_Unfair	Morph	1	Neg_Morph_Fair_Unfair
vague	6.5	Neg	impolite	polite	Polite_Impolite	Morph	1	Neg_Morph_Polite_Impolite
vague	6.5	Neg	impossible	possible	Possible_Impossible	Morph	1	Neg_Morph_Possible_Impossible
off	5.5	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	1	Neg_Morph_Satisfactory_Unsatisfactory
vague	6.5	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	1	Pos_Morph_Friendly_Unfriendly
vague	6.5	Neg	useless	useful	Useful_Useless	Morph	1	Neg_Morph_Useful_Useless
vague	6.5	Pos	good	bad	Good_Bad	Nonmorph	1	Pos_Nonmorph_Good_Bad
vague	6.5	Neg	weak	strong	Strong_Weak	Nonmorph	1	Neg_Nonmorph_Strong_Weak
vague	6.5	Neg	mean	kind	Kind_Mean	Nonmorph	1	Neg_Nonmorph_Kind_Mean
vague	6.5	Pos	tall	short	Tall_Short	Nonmorph	1	Pos_Nonmorph_Tall_Short
off	5.5	Neg	sad	happy	Happy_Sad	Nonmorph	1	Neg_Nonmorph_Happy_Sad
vague	6.5	Pos	long	short	Long_Short	Nonmorph	1	Pos_Nonmorph_Long_Short
vague	6.5	Neg	rude	polite	Polite_Rude	Nonmorph	1	Neg_Nonmorph_Polite_Rude
vague	6.5	Pos	rich	poor	Rich_Poor	Nonmorph	1	Pos_Nonmorph_Rich_Poor
vague	6.5	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	1	Neg_Nonmorph_Satisfactory_Frustrating
vague	1.5	Neg	interesting	boring	Interesting&Uninteresting	testrating	1	Neg_interestingboring
vague	1.5	Pos	good	bad	Good&Bad	testrating	1	Pos_goodbad
vague	1.5	Pos	impolite	polite	Polite&Impolite	testrating	1	Pos_impolitepolite
vague	1.5	Neg	fair	unfair	Fair&Unfair	testrating	1	Neg_fairunfair
vague	1.5	Pos	friendly	unfriendly	Friendly&Unfriendly	testrating	1	Pos_friendlyunfriendly
vague	1.5	Neg	tall	short	Tall&Short	testrating	1	Neg_tallshort
vague	4.5	Pos	average	average	Average	testaverage	1	Average_testaverage
vague	4.5	Pos	ok	ok	Ok	testaverage	1	Ok_testaverage
vague	4.5	Neg	alright	alright	Alright	testaverage	1	Alright_testaverage
vague	4.5	Pos	ok	ok	OkOk	testaverage	1	OkOk_testaverage
vague	6.5	Neg	uncertain	certain	Certain_Uncertain	Morph	2	Neg_Morph_Certain_Uncertain
vague	6.5	Pos	lucky	unlucky	Lucky_Unlucky	Morph	2	Pos_Morph_Lucky_Unlucky
vague	6.5	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	2	Pos_Morph_Accurate_Inaccurate
vague	6.5	Pos	happy	unhappy	Happy_Unhappy	Morph	2	Pos_Morph_Happy_Unhappy
vague	6.5	Pos	interesting	uninteresting	Interesting_Uninteresting	Morph	2	Pos_Morph_Interesting_Uninteresting
vague	6.5	Neg	unfair	fair	Fair_Unfair	Morph	2	Neg_Morph_Fair_Unfair
vague	6.5	Pos	polite	impolite	Polite_Impolite	Morph	2	Pos_Morph_Polite_Impolite
vague	6.5	Neg	impossible	possible	Possible_Impossible	Morph	2	Neg_Morph_Possible_Impossible
vague	4.5	Neg	unsatisfactory	satisfactory	Satisfactory_Unsatisfactory	Morph	2	Neg_Morph_Satisfactory_Unsatisfactory
vague	6.5	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	2	Pos_Morph_Friendly_Unfriendly
vague	6.5	Neg	useless	useful	Useful_Useless	Morph	2	Neg_Morph_Useful_Useless
vague	4.5	Neg	bad	good	Good_Bad	Nonmorph	2	Neg_Nonmorph_Good_Bad
vague	6.5	Neg	weak	strong	Strong_Weak	Nonmorph	2	Neg_Nonmorph_Strong_Weak
vague	6.5	Pos	kind	mean	Kind_Mean	Nonmorph	2	Pos_Nonmorph_Kind_Mean
vague	6.5	Pos	tall	short	Tall_Short	Nonmorph	2	Pos_Nonmorph_Tall_Short
vague	6.5	Neg	sad	happy	Happy_Sad	Nonmorph	2	Neg_Nonmorph_Happy_Sad
vague	6.5	Neg	short	long	Long_Short	Nonmorph	2	Neg_Nonmorph_Long_Short
vague	6.5	Neg	rude	polite	Polite_Rude	Nonmorph	2	Neg_Nonmorph_Polite_Rude
vague	6.5	Pos	rich	poor	Rich_Poor	Nonmorph	2	Pos_Nonmorph_Rich_Poor
vague	6.5	Neg	frustrating	satisfactory	Satisfactory_Frustrating	Nonmorph	2	Neg_Nonmorph_Satisfactory_Frustrating
vague	1.5	Neg	interesting	boring	Interesting&Uninteresting	testrating	2	Neg_interestingboring
vague	1.5	Pos	good	bad	Good&Bad	testrating	2	Pos_goodbad
vague	1.5	Neg	polite	impolite	Polite&Impolite	testrating	2	Neg_politeimpolite
vague	1.5	Pos	unfair	fair	Fair&Unfair	testrating	2	Pos_unfairfair
vague	1.5	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	2	Neg_unfriendlyfriendly
vague	1.5	Pos	short	tall	Tall&Short	testrating	2	Pos_shorttall
vague	4.5	Pos	average	average	Average	testaverage	2	Average_testaverage
vague	4.5	Pos	ok	ok	Ok	testaverage	2	Ok_testaverage
vague	4.5	Neg	alright	alright	Alright	testaverage	2	Alright_testaverage
vague	4.5	Pos	ok	ok	OkOk	testaverage	2	OkOk_testaverage
	6.0	Pos	certain	uncertain	Certain_Uncertain	Morph	3	Pos_Morph_Certain_Uncertain
	6.0	Neg	unlucky	lucky	Lucky_Unlucky	Morph	3	Neg_Morph_Lucky_Unlucky
	6.0	Pos	accurate	inaccurate	Accurate_Inaccurate	Morph	3	Pos_Morph_Accurate_Inaccurate
	6.0	Pos	happy	unhappy	Happy_Unhappy	Morph	3	Pos_Morph_Happy_Unhappy
	4.0	Neg	uninteresting	interesting	Interesting_Uninteresting	Morph	3	Neg_Morph_Interesting_Uninteresting
off	4.0	Neg	unfair	fair	Fair_Unfair	Morph	3	Neg_Morph_Fair_Unfair
	6.0	Pos	polite	impolite	Polite_Impolite	Morph	3	Pos_Morph_Polite_Impolite
	6.0	Pos	possible	impossible	Possible_Impossible	Morph	3	Pos_Morph_Possible_Impossible
	6.0	Pos	satisfactory	unsatisfactory	Satisfactory_Unsatisfactory	Morph	3	Pos_Morph_Satisfactory_Unsatisfactory
	6.0	Pos	friendly	unfriendly	Friendly_Unfriendly	Morph	3	Pos_Morph_Friendly_Unfriendly
	6.0	Neg	useless	useful	Useful_Useless	Morph	3	Neg_Morph_Useful_Useless
	4.0	Neg	bad	good	Good_Bad	Nonmorph	3	Neg_Nonmorph_Good_Bad
	6.0	Neg	weak	strong	Strong_Weak	Nonmorph	3	Neg_Nonmorph_Strong_Weak
	6.0	Neg	mean	kind	Kind_Mean	Nonmorph	3	Neg_Nonmorph_Kind_Mean
	6.0	Neg	short	tall	Tall_Short	Nonmorph	3	Neg_Nonmorph_Tall_Short
	6.0	Pos	happy	sad	Happy_Sad	Nonmorph	3	Pos_Nonmorph_Happy_Sad
	6.0	Pos	long	short	Long_Short	Nonmorph	3	Pos_Nonmorph_Long_Short
	5.0	Neg	rude	polite	Polite_Rude	Nonmorph	3	Neg_Nonmorph_Polite_Rude
	6.0	Pos	rich	poor	Rich_Poor	Nonmorph	3	Pos_Nonmorph_Rich_Poor
	6.0	Pos	satisfactory	frustrating	Satisfactory_Frustrating	Nonmorph	3	Pos_Nonmorph_Satisfactory_Frustrating
	1.0	Neg	interesting	boring	Interesting&Uninteresting	testrating	3	Neg_interestingboring
	1.0	Pos	good	bad	Good&Bad	testrating	3	Pos_goodbad
	1.0	Pos	impolite	polite	Polite&Impolite	testrating	3	Pos_impolitepolite
	1.0	Neg	fair	unfair	Fair&Unfair	testrating	3	Neg_fairunfair
	2.0	Neg	unfriendly	friendly	Friendly&Unfriendly	testrating	3	Neg_unfriendlyfriendly
	1.0	Pos	short	tall	Tall&Short	testrating	3	Pos_shorttall
	4.0	Neg	average	average	Average	testaverage	3	Average_testaverage
	4.0	Pos	ok	ok	Ok	testaverage	3	Ok_testaverage
